05-12-2019,11:51:07,	0.000904	,	-0.000003	,	0.001982	,	0.003941	,	0.001920	,	0.000672	,	0.007677	,	0.090552	,	-13.887154	,	-11.826465	,	-10.593359	,	-53.889392	,
05-12-2019,11:51:08,	0.001447	,	0.001173	,	0.001261	,	0.002691	,	0.001305	,	0.000291	,	-0.002161	,	0.090672	,	-14.262600	,	-12.281110	,	-10.435462	,	-53.837261	,
05-12-2019,11:51:09,	0.000881	,	0.000937	,	0.002059	,	-0.000143	,	0.001435	,	0.000857	,	0.005733	,	0.090555	,	-15.174396	,	-11.408412	,	-10.781834	,	-53.850294	,
05-12-2019,11:51:10,	0.001379	,	0.000620	,	0.001605	,	0.003948	,	0.001714	,	0.000636	,	0.000235	,	0.090522	,	-14.201947	,	-12.779866	,	-10.931210	,	-54.081877	,
05-12-2019,11:51:11,	0.001088	,	0.000868	,	0.001697	,	0.001833	,	0.001837	,	0.000616	,	0.000762	,	0.090486	,	-15.331792	,	-12.277099	,	-10.293604	,	-54.379126	,
05-12-2019,11:51:12,	0.001198	,	0.001061	,	0.001909	,	0.001038	,	0.001341	,	0.000705	,	0.003584	,	0.090472	,	-13.921741	,	-11.384852	,	-10.202375	,	-53.946035	,
05-12-2019,11:51:13,	0.001151	,	0.000546	,	0.001660	,	0.001472	,	0.001319	,	0.000485	,	-0.001535	,	0.090578	,	-14.036530	,	-11.091614	,	-10.096608	,	-54.567099	,
05-12-2019,11:51:14,	0.000820	,	0.001020	,	0.001384	,	0.000836	,	0.001361	,	0.000782	,	-0.000138	,	0.090550	,	-14.285156	,	-12.132736	,	-10.204881	,	-54.432761	,
05-12-2019,11:51:15,	0.001348	,	0.000989	,	0.001752	,	0.000693	,	0.001384	,	0.000413	,	0.002805	,	0.090553	,	-14.847071	,	-12.131733	,	-10.086082	,	-54.293911	,
05-12-2019,11:51:16,	0.001023	,	0.001101	,	0.001429	,	0.001177	,	0.001665	,	0.000457	,	0.002459	,	0.090525	,	-14.763361	,	-11.225451	,	-9.987333	,	-53.256298	,
05-12-2019,11:51:17,	0.001099	,	0.000818	,	0.002024	,	0.000872	,	0.001063	,	0.000651	,	0.001534	,	0.090570	,	-15.224522	,	-11.749771	,	-10.119666	,	-54.026237	,
05-12-2019,11:51:18,	0.001117	,	0.000794	,	0.001710	,	0.001393	,	0.001368	,	0.000584	,	0.000515	,	0.090462	,	-15.347833	,	-11.324200	,	-8.994834	,	-53.976612	,
05-12-2019,11:51:18,	0.001090	,	0.001081	,	0.001272	,	0.001193	,	0.001469	,	0.000548	,	0.004714	,	0.090539	,	-15.659116	,	-11.234474	,	-10.061520	,	-53.571592	,
05-12-2019,11:51:19,	0.000995	,	0.000834	,	0.001466	,	0.001061	,	0.001265	,	0.000887	,	0.002417	,	0.090492	,	-15.256603	,	-10.981838	,	-10.521679	,	-54.379126	,
05-12-2019,11:51:20,	0.000928	,	0.000975	,	0.001885	,	0.001283	,	0.001398	,	0.000580	,	0.001983	,	0.090494	,	-15.067126	,	-12.151283	,	-9.913648	,	-54.293911	,
05-12-2019,11:51:21,	0.001303	,	0.000924	,	0.001159	,	0.000818	,	0.001272	,	0.000700	,	0.002666	,	0.090472	,	-14.562354	,	-11.739245	,	-9.742717	,	-53.947038	,
05-12-2019,11:51:22,	0.001207	,	0.000263	,	0.001416	,	0.001054	,	0.001435	,	0.000588	,	0.001575	,	0.090462	,	-15.015496	,	-11.226454	,	-10.872562	,	-54.045786	,
05-12-2019,11:51:23,	0.000975	,	0.001123	,	0.001495	,	0.001079	,	0.001314	,	0.000868	,	0.002349	,	0.090519	,	-14.683159	,	-12.524723	,	-10.462530	,	-53.835256	,
05-12-2019,11:51:24,	0.001032	,	-0.000156	,	0.001718	,	0.001398	,	0.001543	,	0.000674	,	0.003566	,	0.090426	,	-15.102715	,	-11.495631	,	-11.038981	,	-54.182631	,
05-12-2019,11:51:25,	0.000912	,	0.000872	,	0.001568	,	0.001251	,	0.001072	,	0.000636	,	0.002387	,	0.090578	,	-14.212473	,	-11.898145	,	-10.660528	,	-54.920990	,
05-12-2019,11:51:26,	0.000949	,	0.001348	,	0.001455	,	0.001308	,	0.001115	,	0.000596	,	0.002799	,	0.090572	,	-13.940288	,	-12.509184	,	-10.178815	,	-53.213691	,
05-12-2019,11:51:27,	0.001160	,	0.001133	,	0.001589	,	0.001627	,	0.000877	,	0.001144	,	0.001977	,	0.090548	,	-15.177905	,	-11.409916	,	-10.316161	,	-53.868339	,
05-12-2019,11:51:28,	0.001317	,	0.001049	,	0.001652	,	0.001146	,	0.001429	,	0.000658	,	0.001047	,	0.090599	,	-15.843080	,	-11.043994	,	-10.455011	,	-54.154560	,
05-12-2019,11:51:29,	0.001440	,	0.001005	,	0.001961	,	0.000596	,	0.001151	,	0.000709	,	0.002172	,	0.090598	,	-15.521771	,	-11.552274	,	-9.523665	,	-53.373092	,
05-12-2019,11:51:29,	0.001065	,	0.000140	,	0.001720	,	0.001041	,	0.002159	,	0.000751	,	0.000877	,	0.090576	,	-15.669643	,	-12.632996	,	-10.365285	,	-54.638278	,
05-12-2019,11:51:30,	0.001566	,	0.000391	,	0.001925	,	0.000924	,	0.001335	,	0.000713	,	0.002821	,	0.090453	,	-15.344825	,	-11.569317	,	-9.475043	,	-54.293410	,
05-12-2019,11:51:31,	0.001416	,	0.001151	,	0.001602	,	0.000421	,	0.001966	,	0.000759	,	0.002226	,	0.090548	,	-13.599429	,	-11.900651	,	-10.678574	,	-54.199674	,
05-12-2019,11:51:32,	0.001076	,	0.000603	,	0.001607	,	0.000959	,	0.001128	,	0.000566	,	0.003005	,	0.090579	,	-15.554353	,	-11.499140	,	-10.781333	,	-53.953554	,
