,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,23.02667657972572
10,0.0
11,10.351092776764162
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,1.0819452838042576
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,11.904331547935442
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,1.2561898787787205
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,2.7864479327161233
66,82.93926864890288
67,0.0
68,0.0
69,0.0
70,1.935231155798507
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,72.81646489538868
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,154.65227998479654
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,29.312080702551196
120,4.1529155933947255
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,110.72258449315078
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,5.554963847092841
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,379.664588178731
191,20000.0
192,0.0
193,181.8891756740059
194,0.0
195,0.0
196,0.0
197,0.0
198,74.1514085526734
199,82.84204441932265
200,40.301848642939774
201,220.8748497478932
202,110.97301075341265
203,20000.0
204,103.90151377868433
205,20000.0
206,191.12341862463967
207,141.44875580441413
208,155.415116309631
209,76.87889781178197
210,137.04365619842747
211,1.6409740877902212
212,0.0
213,0.9063258318060744
214,392.2034468480481
215,0.0
216,0.0
217,10.831567674730739
218,45.6863873385961
219,69.90406289346028
220,0.0
221,0.0
222,57.70701691594424
223,136.7701010146748
224,108.62431805412345
225,19.419526204183278
226,42.351037066770964
227,264.29642158073153
228,613.7588217737904
229,20000.0
230,58.414361905691955
231,68.92407945678728
232,143.14945812798132
233,87.60021744013115
234,203.33534521562424
235,220.26941952291097
236,215.07796372253253
237,20000.0
238,166.24741172710148
239,90.31783611277312
240,20000.0
241,89.34294239396692
242,245.6028516303027
243,135.00557944006195
244,366.5264713081342
245,0.0
246,190.33651755881974
247,514.4853436581493
248,125.2161753534349
249,55.69216923160178
250,48.176362933682626
251,0.0
252,35.792231469582475
253,20000.0
254,38.99044495070615
255,316.18022367329775
256,240.24456671485407
257,257.17030467000706
258,445.6620334054516
259,169.21106787143287
260,474.85146166364683
261,338.37384483669445
262,90.3507903658075
263,0.0
264,268.2414167584047
265,0.0
266,42.538895181868696
267,3.8951205559707835
268,0.0
269,208.85924602703528
270,0.0
271,0.0
272,33.312591240618545
273,28.984747894133683
274,0.0
275,0.0
276,57.54553321418118
277,226.89532616183016
278,105.00050196981316
279,20000.0
280,556.7007407682139
281,143.06071427170914
282,101.98541458328805
283,20000.0
284,84.84975998048559
285,96.18095112920012
286,0.0
287,0.0
288,0.0
289,0.0
290,20000.0
291,60.53537524140541
292,65.51724316223981
293,141.77469306942723
294,96.61564434044398
295,20000.0
296,152.81700314160634
297,84.23326170803124
298,20000.0
299,119.88304334258363
300,98.27659775361244
301,72.19849527202749
302,471.62792519795494
303,371.93611663437906
304,64.22319192870627
305,25.531625172965967
306,232.38492246081213
307,81.32300212118432
308,53.333512848347254
309,114.69683365895628
310,379.93171516776493
311,28.65009910124799
312,515.6025042571017
313,20000.0
314,166.07877809233912
315,14.61536288063046
316,60.04897073162361
317,33.37261464503335
318,42.715849826337646
319,491.6365138315231
320,163.55037972081345
321,336.13426793901033
322,173.83555132027197
323,20000.0
324,515.2556902700462
325,20000.0
326,165.61455046751647
327,154.42546202216818
328,69.64756822850372
329,0.0
330,80.80080357247842
331,282.2875764031876
332,20000.0
333,695.763380153591
334,365.7040774910816
335,116.22147714070441
336,0.0
337,273.804921853587
338,176.58960433871852
339,18.06690183530351
340,67.83204344560825
341,312.2125071319011
342,683.0930667342318
343,20000.0
344,20000.0
345,467.2451455332807
346,60.74260496155747
347,0.0
348,309.4299630384136
349,124.31314792813629
350,0.0
351,22.541323344295893
352,140.4853181321067
353,645.5977357525527
354,77.77022219376985
355,169.6490733364727
356,159.96095000285402
357,21.089761263170573
358,132.2514713629648
359,469.2762268673951
360,37.376926640786166
361,20000.0
362,233.63547561160885
363,144.0189231101035
364,20000.0
365,264.03727626820813
366,39.947104538618625
367,149.5789741063605
368,18.221443567956996
369,63.741870482255216
370,37.09161742227839
371,213.01674861282265
372,307.6194263388116
373,171.21928786928146
374,318.59330431309263
375,177.25684352699156
376,127.71345022767495
377,85.25286578118595
378,196.49691488198235
379,263.4941485764523
380,20000.0
381,148.91830436186416
382,170.87418137793065
383,20000.0
384,20000.0
385,254.1154093869323
386,20000.0
387,667.3351986881171
388,20000.0
389,134.00587937826327
390,154.3964515977262
391,58.327301630374755
392,45.890929040012395
393,67.78976261550045
394,138.40189601643834
395,20000.0
396,76.10393558170789
397,26.58566046397759
398,637.4191022801946
399,119.65208950619885
400,43.28212656586121
401,226.45688054622715
402,416.54193164041277
403,69.94202709695132
404,278.503456695903
405,0.0
406,84.10908165824732
407,40.85254638482237
408,560.946703129333
409,20000.0
410,705.4732392259084
411,630.1814377449946
412,238.87565068862418
413,100.59312710632075
414,16.961956929567766
415,209.62106813820034
416,323.74026132958
417,204.08448104782636
418,54.32697426883956
419,20000.0
420,192.28531216236826
421,573.8594304144921
422,76.40451210823592
423,327.6983678366398
424,20000.0
425,447.33940523136687
426,286.7601664262799
427,20000.0
428,93.21928112226647
429,379.4487471231379
430,58.77504577682243
431,19.870026710113905
432,75.33817191891863
433,58.79268449157316
