Date,Time,F1,F2,F3,F4,F5,F6,F7,Top Tank,P1,P2,P3,Unknown,Bottom Tank
07-07-2020,11:58:21,-0.019666,-0.314245,-0.018073,-0.014457,-1.059958,2.692405,-0.009431,0.37508800000000003,-637.122126,2.881271,829.172133,-15.838370999999999,0.477889
07-07-2020,11:58:22,-0.019975,-0.310254,-0.011812000000000001,-0.013890999999999999,-1.05075,2.682361,-0.00854,0.376183,-637.1321519999999,2.042074,825.9953830000001,-16.326684,0.483692
07-07-2020,11:58:22,-0.014052,-0.313212,-0.015050999999999998,-0.014128,-1.06034,2.689726,-0.012114,0.374682,-637.12505,1.893784,828.919413,-16.084825,0.479101
07-07-2020,11:58:23,-0.016071000000000002,-0.316407,-0.0154,-0.015206,-1.059978,2.6832700000000003,-0.009484999999999999,0.376176,-637.129645,3.004498,829.2669549999999,-16.139964000000003,0.48106800000000005
07-07-2020,11:58:24,-0.018868,-0.313135,-0.014119999999999999,-0.01553,-1.056745,2.702032,-0.008406,0.37617399999999995,-637.1526200000001,3.077599,830.00214,-16.068952,0.483283
07-07-2020,11:58:25,-0.018574,-0.310944,-0.016869,-0.016174,-1.064622,2.694639,-0.009926,0.373971,-637.140088,2.622286,833.734873,-15.159996,0.477559
07-07-2020,11:58:26,-0.013502000000000002,-0.308023,-0.016153,-0.017223,-1.064518,2.690233,-0.009281000000000001,0.375569,-637.139671,3.19456,828.940299,-15.880142999999999,0.481049
07-07-2020,11:58:27,-0.020447,-0.311525,-0.012598999999999999,-0.017092,-1.066259,2.6926330000000003,-0.0049700000000000005,0.37540500000000004,-637.1271389999999,2.217516,834.9445860000001,-15.924839000000002,0.47569799999999995
07-07-2020,11:58:28,-0.01934,-0.309164,-0.018282,-0.015085,-1.05567,2.70282,-0.0077930000000000004,0.374129,-637.1041650000001,2.966903,832.387313,-16.083572,0.489145
07-07-2020,11:58:29,-0.01908,-0.314471,-0.017427,-0.017088,-1.049927,2.687077,-0.00982,0.375569,-637.14343,3.269332,831.841772,-16.401873000000002,0.487387
07-07-2020,11:58:30,-0.016616,-0.316328,-0.010579999999999999,-0.016735,-1.050245,2.68413,-0.008122,0.376056,-637.145519,2.737994,829.320423,-16.590264,0.481307
07-07-2020,11:58:31,-0.020919999999999998,-0.316369,-0.015314,-0.014681,-1.054801,2.698341,-0.009595000000000001,0.374839,-637.139671,2.9581310000000003,832.588236,-15.891839000000001,0.47671499999999994
07-07-2020,11:58:32,-0.020065,-0.31483,-0.015825,-0.017535,-1.055715,2.681985,-0.010511,0.374207,-637.1321519999999,3.882125,830.199303,-16.100698,0.479315
07-07-2020,11:58:33,-0.019372999999999998,-0.31358600000000003,-0.015609999999999999,-0.01372,-1.054457,2.680669,-0.010325,0.373352,-637.121709,3.484039,828.689668,-15.916067000000002,0.48518
