,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28,LA2,LA3
0,-27.631021115928547,22.969401617480997,27.771178722727317,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,41.70542181171131,18.86054793434974,24.83115620332769,-27.631021115928547,24.58723774484142,11.362483486633376,-27.631021115928547,-27.631021115928547,-27.63101671724877
1,-27.631021115928547,-27.631021115928547,-27.631021115928547,-16.125326523496398,-27.631021115928547,-6.84902214520405,-2.4300564741322486,-17.413736176328385,-3.9654707982274027,-27.631021115928547,-3.095740474159315,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.630930373583524,-27.631020296512368
2,2.6375671306562434,-27.631021115928547,7.282945449167607,-27.631021115928547,-27.631021115928547,-27.631021115836845,-6.176044821790571,-15.005106628390058,-27.631021115922085,-27.631019820512567,-27.631021115928547,-6.2830657178694675,-27.631021115928547,-8.91547991863562,-27.63101382861264,-27.631021115928547
3,704.5241538767201,-27.631021115928547,642.1803613893914,592.438452908847,-27.631021115928547,20000.0,563.9330211726766,20000.0,-27.631021115928547,-27.631021115928547,20000.0,20000.0,-27.631021115928547,-27.631021115928547,20000.0,-27.631021115928547
4,20000.0,-27.631021115928547,20000.0,648.0735266244603,-27.631021115928547,-27.631021115928547,695.4043693740736,20000.0,-27.631021115928547,-27.631021115928547,-27.631021115928547,-27.631021115928547,398.5006418992673,-27.631021115928547,708.1828242435664,-27.631021115928547
5,20000.0,20000.0,414.83714282176163,-27.631021115928547,-27.631021115928547,287.6506256504818,615.6844297833471,20000.0,-27.631021115928547,20000.0,20000.0,-27.631021115928547,700.6698528606211,-27.631021115928547,-27.631021115928547,-27.631021115928547
6,84.95934919472771,52.32919296381941,97.20269403151568,-27.631021115928547,-27.631021115928547,78.50623071289328,85.76738239631,8.733450708186606,82.90436889229034,81.21780772963413,84.50040288585197,97.54069457518345,76.89155826390783,-27.631021115928547,-27.631021115928547,-27.206789975921577
7,676.0886945559236,-27.631021115928547,37.03293321305098,20000.0,672.2551613260806,20000.0,703.0681558070323,578.5428596376141,637.0763920485023,662.5147744637811,442.6826694083721,20000.0,20000.0,223.10122279563188,-27.631021115928547,20000.0
8,20000.0,20000.0,706.0933466006843,614.6187516350806,446.54940572276803,20000.0,20000.0,700.9133824525082,-27.631021115928547,-27.631021115928547,20000.0,-27.631021115928547,702.5572061450473,-27.631021115928547,-27.631021115928547,161.5417232310827
9,20000.0,20000.0,20000.0,496.852555466912,456.5098882958825,705.1771637548183,20000.0,20000.0,571.719464094568,-27.631021115928547,20000.0,624.5220811719831,20000.0,-27.631021115928547,-27.631021115928547,627.7358710432786
